Executed,Date,Income account,Income amount,Income balance,Expense account,Expense amount,Expense balance,Comment,Category of Статья,Category of Агент,Category of Проект
+,31/03/2006 15:01,,,,RUR - Наличные,-600,"4,714.33",,\Все статьи расхода\Связь\Интернет,\Все платёжные агенты\Вадим,
+,31/03/2006 15:05,,,,RUR - Наличные,-599,"4,115.33",маникюрный набор,\Все статьи расхода\Средства гигиены и косметика,\Все платёжные агенты\Света,
+,31/03/2006 15:06,,,,RUR - Наличные,-288.09,"3,827.24",универ,\Все статьи расхода\Продукты\Питание дом,\Все платёжные агенты\Вадим,
+,31/03/2006 15:18,,,,RUR - Наличные,-130,"3,697.24",,\Все статьи расхода\Продукты\Питание работа,\Все платёжные агенты\Света,
+,1/04/2006 9:05,,,,RUR - Наличные,-610,"3,087.24",кофе,"\Все статьи расхода\Досуг, развлечения\информ.-развл.",\Все платёжные агенты\Вадим,
+,1/04/2006 9:06,,,,RUR - Наличные,-115,"2,972.24",дональдс,\Все статьи расхода\Продукты,\Все платёжные агенты\Вадим,
+,1/04/2006 9:08,,,,RUR - Наличные,-30,"2,942.24",,\Все статьи расхода\Транспорт,\Все платёжные агенты\Света,
+,1/04/2006 15:19,,,,RUR - Наличные,-120,"2,822.24",фото,\Все статьи расхода\Прочее,\Все платёжные агенты\Вадим,
+,1/04/2006 15:19,,,,RUR - Наличные,"-1,340.00","1,482.24",смарт,\Все статьи расхода\Транспорт,\Все платёжные агенты\Света,
+,1/04/2006 20:03,,,,USD - Наличные,-550,0,,\Все статьи расхода\Дом\Квартплата,\Все платёжные агенты\Света,
+,2/04/2006 9:08,,,,RUR - Наличные,-100,"1,382.24",dvd,"\Все статьи расхода\Досуг, развлечения\информ.-развл.",\Все платёжные агенты\Света,
+,2/04/2006 9:10,,,,RUR - Наличные,-100,"1,282.24",переходник,\Все статьи расхода\Связь\телефон сотовый,\Все платёжные агенты\Вадим,
+,2/04/2006 9:10,,,,RUR - Наличные,-60,"1,222.24",кошки,"\Все статьи расхода\Досуг, развлечения\информ.-развл.",\Все платёжные агенты\Света,
+,3/04/2006 9:11,,,,RUR - Наличные,-273.21,949.03,универ,\Все статьи расхода\Продукты\Питание дом,\Все платёжные агенты\Вадим,
+,3/04/2006 16:53,RUR - Наличные,"3,000.00","3,949.03",RUR - CitiBank Card,"-3,000.00","33,583.00",,,,
+,3/04/2006 16:53,,,,RUR - Наличные,-900,"3,049.03",регистрация,\Все статьи расхода\Прочее,\Все платёжные агенты\Вадим,
+,3/04/2006 22:07,,,,RUR - Наличные,-900,"2,149.03",проездной,\Все статьи расхода\Транспорт,\Все платёжные агенты\Вадим,
+,3/04/2006 22:08,,,,RUR - Наличные,-15,"2,134.03",,\Все статьи расхода\Транспорт,\Все платёжные агенты\Света,
+,3/04/2006 22:09,,,,RUR - Наличные,-95,"2,039.03",,\Все статьи расхода\Продукты\Питание работа,\Все платёжные агенты\Света,
+,3/04/2006 22:09,,,,RUR - Наличные,-62.8,"1,976.23",,\Все статьи расхода\Продукты\Питание дом,\Все платёжные агенты\Вадим,
+,4/04/2006 21:31,,,,RUR - Наличные,-317.67,"1,658.56",кино,"\Все статьи расхода\Досуг, развлечения\информ.-развл.",\Все платёжные агенты\Вадим,
+,4/04/2006 21:34,,,,RUR - Наличные,-250.87,"1,407.69",универ,\Все статьи расхода\Продукты\Питание дом,\Все платёжные агенты\Вадим,
+,4/04/2006 21:34,,,,RUR - Наличные,-105,"1,302.69",,\Все статьи расхода\Продукты\Питание работа,\Все платёжные агенты\Света,
+,5/04/2006 22:04,RUR - Наличные,"2,000.00","3,302.69",RUR - CitiBank Card,"-2,000.00","31,583.00",,,,
+,5/04/2006 22:05,,,,RUR - Наличные,-15,"3,287.69",,\Все статьи расхода\Транспорт,\Все платёжные агенты\Вадим,
+,5/04/2006 22:05,,,,RUR - Наличные,-125,"3,162.69",,\Все статьи расхода\Продукты\Питание работа,\Все платёжные агенты\Света,
+,5/04/2006 22:06,,,,RUR - Наличные,-60.3,"3,102.39",универ,\Все статьи расхода\Продукты\Питание дом,\Все платёжные агенты\Света,
+,5/04/2006 22:08,,,,RUR - CitiBank Card,-65,"31,518.00",,\Все статьи расхода\%,\Все платёжные агенты\Света,
+,6/04/2006 19:09,,,,RUR - Наличные,-300,"2,802.39",мтс+пчелайн,\Все статьи расхода\Связь\телефон сотовый,\Все платёжные агенты\Света,
+,6/04/2006 20:14,,,,RUR - Наличные,-88.3,"2,714.09",,\Все статьи расхода\Продукты\Питание работа,\Все платёжные агенты\Света,
+,6/04/2006 20:14,,,,RUR - Наличные,-33.88,"2,680.21",,\Все статьи расхода\Продукты\Питание дом,\Все платёжные агенты\Света,
+,6/04/2006 20:15,,,,RUR - Наличные,-120,"2,560.21",поттер,"\Все статьи расхода\Досуг, развлечения\информ.-развл.",\Все платёжные агенты\Света,
+,7/04/2006 22:03,,,,RUR - Наличные,-104,"2,456.21",,\Все статьи расхода\Продукты\Питание работа,\Все платёжные агенты\Света,
+,7/04/2006 22:04,,,,RUR - Наличные,-120,"2,336.21",dvd,"\Все статьи расхода\Досуг, развлечения\информ.-развл.",\Все платёжные агенты\Света,
+,7/04/2006 22:04,,,,RUR - Наличные,-35.4,"2,300.81",,\Все статьи расхода\Продукты\Питание дом,\Все платёжные агенты\Вадим,
+,8/04/2006 16:57,RUR - Наличные,"6,000.00","8,300.81",RUR - CitiBank Card,"-6,000.00","25,518.00",,,,
+,8/04/2006 16:57,,,,RUR - Наличные,"-2,100.28","6,200.53",ашан,\Все статьи расхода\Продукты\Питание дом,\Все платёжные агенты\Света,
+,8/04/2006 17:00,,,,RUR - Наличные,-300,"5,900.53",,\Все статьи расхода\Транспорт\Авто,\Все платёжные агенты\Вадим,
+,8/04/2006 17:00,,,,RUR - Наличные,-45,"5,855.53",шнунок,\Все статьи расхода\Связь\телефон сотовый,\Все платёжные агенты\Вадим,
+,8/04/2006 17:01,,,,RUR - Наличные,-150,"5,705.53",,\Все статьи расхода\Связь\телефон - ip,\Все платёжные агенты\Вадим,
+,8/04/2006 17:01,,,,RUR - Наличные,-240,"5,465.53",крошка картошка,\Все статьи расхода\Продукты,\Все платёжные агенты\Вадим,
+,9/04/2006 15:28,RUR - Наличные,"3,201.00","8,666.53",RUR - CitiBank Card,"-3,201.00","22,317.00",,,,
+,9/04/2006 20:26,,,,RUR - Наличные,"-3,710.30","4,956.23",,\Все статьи расхода\Одежда,\Все платёжные агенты\Света,
+,9/04/2006 20:27,,,,RUR - Наличные,"-1,880.70","3,075.53",,\Все статьи расхода\Одежда,\Все платёжные агенты\Вадим,
+,9/04/2006 20:29,,,,RUR - Наличные,-16,"3,059.53",,\Все статьи расхода\Продукты\Питание дом,\Все платёжные агенты\Вадим,
+,10/04/2006 12:30,RUR - CitiBank Card,"5,873.00","28,190.00",,,,,,\Все платёжные агенты\Света,
+,10/04/2006 21:20,,,,RUR - Наличные,-80,"2,979.53",,\Все статьи расхода\Продукты\Питание работа,\Все платёжные агенты\Вадим,
+,10/04/2006 21:20,,,,RUR - Наличные,-78,"2,901.53",,\Все статьи расхода\Продукты\Питание работа,\Все платёжные агенты\Света,
+,10/04/2006 21:21,,,,RUR - Наличные,-150,"2,751.53",цвет,\Все статьи расхода\Средства гигиены и косметика,\Все платёжные агенты\Вадим,
+,11/04/2006 21:27,,,,RUR - Наличные,-90,"2,661.53",,\Все статьи расхода\Продукты\Питание работа,\Все платёжные агенты\Вадим,
+,11/04/2006 21:27,,,,RUR - Наличные,-93,"2,568.53",,\Все статьи расхода\Продукты\Питание работа,\Все платёжные агенты\Света,
+,12/04/2006 17:32,,,,RUR - Наличные,-50,"2,518.53",,\Все статьи расхода\Продукты\Питание работа,\Все платёжные агенты\Вадим,
